round,client,n_train_samples,local_train_loss,local_test_accuracy,local_test_precision,local_test_recall,local_test_f1,local_test_f1_micro,local_test_f1_per_class,local_test_auc,size_weight,performance_weight,adaptive_weight
11,3,3744,1.0815768558754881,0.2125324010848999,0.12544807044378883,0.9250655003380662,0.21462925828756668,0.23864976415094338,"[0.3573943661971831, 0.14285714285714285, 0.4014022787028922, 0.44739022369511183, 0.25512104283054005, 0.22981956315289648, 0.0720164609053498, 0.23651844843897823, 0.21946564885496184, 0.1464968152866242, 0.14271555996035679, 0.1451990632318501, 0.2084130019120459, 0.0]",0.6581578163542465,0.25,0.25359578916136566,0.2514383156645463
12,0,3744,1.0779593317936629,0.2827412784099579,0.15826386089074607,0.9127339316123403,0.2452190118561057,0.2481821813823412,"[0.36678832116788324, 0.1562809099901088, 0.4369747899159664, 0.43256997455470736, 0.22753346080305928, 0.24761904761904763, 0.09249743062692703, 0.2318271119842829, 0.2605128205128205, 0.2159090909090909, 0.13160733549083065, 0.16272189349112426, 0.20355731225296442, 0.26666666666666666]",0.6609081534249396,0.25,0.25380225863695677,0.25152090345478273
12,1,3744,1.059732008082235,0.28678151965141296,0.13190850745272392,0.9385790650136653,0.22467150167989947,0.24790996784565916,"[0.35500878734622143, 0.14638971315529178, 0.42611060743427015, 0.4180118946474087, 0.2239089184060721, 0.2730696798493409, 0.0779816513761468, 0.25836216839677045, 0.2424916573971079, 0.20423892100192678, 0.12738853503184713, 0.12931034482758622, 0.22339304531085352, 0.039735099337748346]",0.6437825940649046,0.25,0.2408195410117581,0.24632781640470325
12,2,3744,1.0733514241173736,0.23669767379760742,0.13297505780939764,0.950392725800847,0.22715609589956567,0.24595225544092175,"[0.3288409703504043, 0.16750756811301715, 0.43575418994413406, 0.44867549668874174, 0.2632066728452271, 0.24213536701620592, 0.09164969450101833, 0.22179363548698167, 0.23865877712031558, 0.19437340153452684, 0.15522388059701492, 0.1490104772991851, 0.1798631476050831, 0.06349206349206349]",0.6582368844715648,0.25,0.251754760910934,0.2507019043643736
12,3,3744,1.075859436010703,0.22084158658981323,0.12987394017620504,0.9687372428012676,0.22258373571472598,0.24058250984471358,"[0.35789473684210527, 0.14457831325301204, 0.40315512708150747, 0.44739022369511183, 0.25512104283054005, 0.23219512195121952, 0.0720164609053498, 0.24242424242424243, 0.21902017291066284, 0.15488215488215487, 0.14342629482071714, 0.14869888475836432, 0.2084130019120459, 0.08695652173913043]",0.6606752873153265,0.25,0.253623439440351,0.2514493757761404
13,0,3744,1.0701102238435012,0.25323981046676636,0.13447085369808662,0.9447559964376622,0.22933637312511035,0.24622960911049555,"[0.36202307009760426, 0.17173913043478262, 0.4198250728862974, 0.4331103678929766, 0.22537878787878787, 0.2460093896713615, 0.09164969450101833, 0.22519083969465647, 0.25193798449612403, 0.2363013698630137, 0.1276595744680851, 0.14009661835748793, 0.20211742059672763, 0.07766990291262135]",0.6631659883965856,0.25,0.2546551151351167,0.25186204605404666
13,1,3744,1.0555227695876717,0.2975301146507263,0.13127494244334614,0.8749873870588107,0.22002705158857178,0.24399048322257774,"[0.3535811423390752, 0.14697120158887786, 0.4557522123893805, 0.4175824175824176, 0.22476190476190477, 0.2746212121212121, 0.07223942208462332, 0.26629680998613037, 0.24035281146637266, 0.1506849315068493, 0.12102564102564102, 0.13636363636363635, 0.2201453790238837, 0.0]",0.646475602556597,0.25,0.24199823258008185,0.24679929303203274
13,2,3744,1.0671823653400454,0.24561670422554016,0.139825460386802,0.9585030655791302,0.23365738692140486,0.24063842848373235,"[0.3303249097472924, 0.1627450980392157, 0.45689655172413796, 0.4529616724738676, 0.2632066728452271, 0.24121557454890788, 0.09183673469387756, 0.21883920076117983, 0.2849162011173184, 0.27927927927927926, 0.15756302521008403, 0.13471502590673576, 0.17881438289601556, 0.017889087656529516]",0.6591787650166385,0.25,0.25160214062305586,0.25064085624922233
13,3,3744,1.069763281253668,0.36728158593177795,0.14404803501404254,0.7944536645223311,0.23247743162783557,0.25600573682323413,"[0.3705069124423963, 0.14519427402862986, 0.46494464944649444, 0.44739022369511183, 0.25512104283054005, 0.23246878001921228, 0.0720164609053498, 0.2589928057553957, 0.21883920076117983, 0.13813813813813813, 0.21019108280254778, 0.21739130434782608, 0.2234891676168757, 0.0]",0.659365239370213,0.25,0.2517445116617456,0.25069780466469826
14,0,3744,1.0659973391100892,0.24050922691822052,0.13233849964325867,0.9640650952653141,0.2267507142863772,0.24425396343776076,"[0.3582089552238806, 0.16243654822335024, 0.41246562786434465, 0.43179916317991635, 0.22413793103448276, 0.24716981132075472, 0.09164969450101833, 0.23031496062992127, 0.24854368932038834, 0.21782178217821782, 0.12783505154639174, 0.14213197969543148, 0.20452310717797442, 0.07547169811320754]",0.6805529479694258,0.25,0.25827694765936987,0.25331077906374794
